Organism_Code	Organism_Name
xoy	Xanthomonas oryzae pv. oryzae PXO86
xor	Xanthomonas oryzae pv. oryzicola BLS256
xoz	Xanthomonas oryzae pv. oryzicola CFBP7342
xal	Xanthomonas albilineans
xsa	Xanthomonas sacchari
xtn	Xanthomonas translucens pv. undulosa
xgm	Xanthomonas graminis
xcs	Xanthomonas cerealis
xfr	Xanthomonas fragariae
xve	Xanthomonas vesicatoria
xpe	Xanthomonas perforans
xhr	Xanthomonas hortorum
xga	Xanthomonas hortorum pv. gardneri
xph	Xanthomonas phaseoli
xva	Xanthomonas vasicola pv. vasculorum
xan	Xanthomonas sp. ISO98C4
xar	Xanthomonas arboricola
xhy	Xanthomonas hyacinthi
xcz	Xanthomonas cucurbitae
xth	Xanthomonas theicola
xeu	Xanthomonas euroxanthea
xhd	Xanthomonas hydrangeae
xpr	Xanthomonas prunicola
xag	Xanthomonas sp. GW
xdy	Xanthomonas dyei
xas	Xanthomonas sp. SS
xha	Xanthomonas hawaiiensis
xry	Xanthomonas rydalmerensis
xso	Xanthomonas sontii
xin	Xanthomonas indica
xai	Xanthomonas sp. SI
xaz	Xanthomonas sp. CPBF 426
xts	Xanthomonas tesorieronis
xmd	Xanthomonas medicagonis
xbn	Xanthomonas bundabergensis
sml	Stenotrophomonas maltophilia K279a
smt	Stenotrophomonas maltophilia R551-3
buj	Stenotrophomonas maltophilia JV3
smz	Stenotrophomonas maltophilia D457
sfoe	Stenotrophomonas forensis
sacz	Stenotrophomonas acidaminiphila
stek	Stenotrophomonas sp. KCTC 12332
srh	Stenotrophomonas rhizophila
slm	Stenotrophomonas sp. LM091
sten	Stenotrophomonas sp. WZN-1
stem	Stenotrophomonas sp. MYb57
stes	Stenotrophomonas sp. ASS1
sinc	Stenotrophomonas indicatrix
spaq	Stenotrophomonas pavanii
steq	Stenotrophomonas sp. 169
sgen	Stenotrophomonas geniculata
sou	Stenotrophomonas oahuensis
sarc	Stenotrophomonas aracearum
scyc	Stenotrophomonas cyclobalanopsidis
stej	Stenotrophomonas sp. SBJS02
steo	Stenotrophomonas sp. Pemsol
stez	Stenotrophomonas sp. P2112
psu	Pseudoxanthomonas suwonensis 11-1
psuw	Pseudoxanthomonas suwonensis J1
psd	Pseudoxanthomonas spadix
pmex	Pseudoxanthomonas mexicana
pjp	Pseudoxanthomonas japonensis
pdd	Pseudoxanthomonas daejeonensis
pwi	Pseudoxanthomonas winnipegensis
psse	Pseudoxanthomonas sp. SE1
pkq	Pseudoxanthomonas koreensis
lab	Lysobacter antibioticus 76
laq	Lysobacter antibioticus ATCC 29479
lcp	Lysobacter capsici
lgu	Lysobacter gummosus
lez	Lysobacter enzymogenes C3
lem	Lysobacter enzymogenes M497-1
lyt	Lysobacter sp. TY2-98
lsol	Lysobacter soli
laux	Lysobacter auxotrophicus
lya	Lysobacter yananisis
lsy	Lysobacter soyae
lare	Lysobacter arenosi
lhx	Lysobacter helvus
lyw	Lysobacter sp. CW239
lcas	Noviluteimonas caseinilytica
lcic	Novilysobacter ciconiae
lavi	Novilysobacter avium
llz	Novilysobacter luteus
lyj	Marilutibacter alkalisoli
lmb	Marilutibacter maris
lsf	Agrilutibacter solisilvae
lsx	Agrilutibacter terrestris
lue	Solilutibacter oculi
lum	Luteimonas chenhongjianii
lus	Luteimonas yindakuii
lug	Luteimonas granuli
lfx	Luteimonas fraxinea
luj	Luteimonas sp. JM171
thes	Thermomonas aquatica
theh	Thermomonas sp. HDW16
tcn	Thermomonas carbonis
tbv	Thermomonas brevis
thex	Thermomonas sp. XSG
xbc	Pseudolysobacter antarcticus
fau	Frateuria aurantia
fsg	Frateuria soli
fed	Frateuria edaphi
rhd	Rhodanobacter denitrificans
rgl	Rhodanobacter glycinis
rth	Rhodanobacter thiooxydans
dji	Dyella jiangningensis
dja	Dyella japonica
dtx	Dyella thiooxydans
dye	Dyella sp. M7H15-1
dcs	Dyella caseinilytica
dtl	Dyella telluris
dta	Dyella terrae
dyg	Dyella sp. GSA-30
dko	Dokdonella koreensis
lrz	Luteibacter rhizovicinus DSM 16549
lpy	Luteibacter pinisoli
lanh	Luteibacter anthropi
lfl	Luteibacter flocculans
laeg	Luteibacter aegosomatis
laeo	Luteibacter aegosomatissinici
laes	Luteibacter aegosomaticola
xba	Ahniella affigens
rbd	Aerosticca soli
tamn	Tahibacter amnicola
vch	Vibrio cholerae O1 El Tor N16961
vcf	Vibrio cholerae O1 El Tor FJ147
vcs	Vibrio cholerae O1 El Tor MS6
vce	Vibrio cholerae O1 2010EL-1786
vcq	Vibrio cholerae O1 2012EL-2176
vcj	Vibrio cholerae O1 MJ-1236
vci	Vibrio cholerae O1 IEC224
vco	Vibrio cholerae O1 O395
vcr	Vibrio cholerae O1 O395
vcm	Vibrio cholerae O1 M66-2
vcl	Vibrio cholerae O1 LMA3984-4
vcx	Vibrio cholerae O49 1154-74
vcz	Vibrio cholerae O27 10432-62
vvu	Vibrio vulnificus CMCP6
vvy	Vibrio vulnificus YJ016
vvm	Vibrio vulnificus MO6-24/O
vvl	Vibrio vulnificus 93U204
vpa	Vibrio parahaemolyticus RIMD 2210633
vpb	Vibrio parahaemolyticus BB22OP
vpk	Vibrio parahaemolyticus O1:K33 CDC_K4557
vpf	Vibrio parahaemolyticus O1:Kuk FDA_R31
vph	Vibrio parahaemolyticus UCM-V493
vha	Vibrio campbellii ATCC BAA-1116
vca	Vibrio campbellii ATCC BAA-1116
vag	Vibrio alginolyticus
vex	Vibrio antiquarius
vdb	Vibrio diabolicus
vhr	Vibrio harveyi
vna	Vibrio natriegens
vow	Vibrio owensii
vro	Vibrio rotiferianus
vsp	Vibrio atlanticus
vej	Vibrio sp. EJY3
vfu	Vibrio furnissii
vni	Vibrio nigripulchritudo
van	Vibrio anguillarum 775
lag	Vibrio anguillarum M3
vau	Vibrio anguillarum NB10
vcy	Vibrio coralliilyticus RE98
vct	Vibrio coralliilyticus OCN014
vtu	Vibrio tubiashii
veu	Vibrio europaeus
vsi	Vibrio sinaloensis
vfl	Vibrio fluvialis
vmi	Vibrio mimicus
vbr	Vibrio breoganii
vsc	Vibrio scophthalmi
vga	Vibrio gazogenes
vsh	Vibrio mediterranei
vqi	Vibrio qinghaiensis
vta	Vibrio tapetis subsp. tapetis
vaf	Vibrio alfacsensis
vnl	Vibrio neocaledonicus
vcc	Vibrio cyclitrophicus
vas	Vibrio astriarenae
vaq	Vibrio aquimaris
vsr	Vibrio spartinae
vka	Vibrio kanaloae
vzi	Vibrio ziniensis
vnv	Vibrio navarrensis
vgi	Vibrio gigantis
vsl	Vibrio splendidus
vpl	Vibrio paracholerae
vjp	Vibrio japonicus
vpg	Vibrio pelagius
vos	Vibrio ostreae
vti	Vibrio tarriae
vcra	Vibrio crassostreae
vnp	Vibrio neptunius
vle	Vibrio lentus
vsy	Vibrio syngnathi
vru	Vibrio ruber
vmt	Vibrio metoecus
vib	Vibrio sp. STUT-A11
vis	Vibrio sp. STUT-A16
vio	Vibrio sp. NTOU-M3
vih	Vibrio sp. HB236076
vck	Vibrio chaetopteri
vfi	Aliivibrio fischeri ES114
vfm	Aliivibrio fischeri MJ11
vsa	Aliivibrio salmonicida
awd	Aliivibrio wodanis
ppr	Photobacterium profundum
pgb	Photobacterium gaetbulicola
pds	Photobacterium damselae subsp. damselae
pgh	Photobacterium ganghwense
phot	Photobacterium sp. CCB-ST2H9
pate	Photobacterium atrarenae
gho	Grimontia hollisae
gkd	Grimontia kaedaensis
pmai	Paraphotobacterium marinum
saly	Salinivibrio sp. YCSC6
sks	Salinivibrio kushneri
scot	Salinivibrio costicola
spro	Salinivibrio proteolyticus
elux	Candidatus Enterovibrio altilux
pre	Metapseudomonas resinovorans
pfuw	Metapseudomonas furukawaii
poj	Metapseudomonas otitidis
plal	Metapseudomonas lalkuanensis
pae	Pseudomonas aeruginosa PAO1
paev	Pseudomonas aeruginosa PAO1-VE13
paei	Pseudomonas aeruginosa PAO1-VE2
pau	Pseudomonas aeruginosa UCBPP-PA14
pag	Pseudomonas aeruginosa LESB58
paf	Pseudomonas aeruginosa M18
pnc	Pseudomonas aeruginosa NCGM2.S1
paeb	Pseudomonas aeruginosa NCGM 1900
pdk	Pseudomonas aeruginosa DK2
psg	Pseudomonas aeruginosa B136-33
prp	Pseudomonas aeruginosa RP73
paep	Pseudomonas aeruginosa PA1
paer	Pseudomonas aeruginosa PA1R
paem	Pseudomonas aeruginosa MTB-1
pael	Pseudomonas aeruginosa LES431
paes	Pseudomonas aeruginosa SCV20265
paeu	Pseudomonas aeruginosa PA38182
paeg	Pseudomonas aeruginosa YL84
paec	Pseudomonas aeruginosa c7447m
paeo	Pseudomonas aeruginosa PAO581
sech	Pseudomonas aeruginosa B18
pcq	Pseudomonas citronellolis
pmui	Pseudomonas multiresinivorans
pnt	Pseudomonas nitroreducens
pap	Pseudomonas paraeruginosa PA7
ppaa	Pseudomonas paraeruginosa
ppu	Pseudomonas putida KT2440
ppf	Pseudomonas putida F1
ppg	Pseudomonas putida GB-1
ppw	Pseudomonas putida W619
ppt	Pseudomonas putida S16
ppb	Pseudomonas putida BIRD-1
ppi	Pseudomonas putida ND6
ppx	Pseudomonas putida DOT-T1E
ppuh	Pseudomonas putida HB3267
pput	Pseudomonas putida H8234
ppun	Pseudomonas putida NBRC 14164
ppud	Pseudomonas putida DLL-E4
pfv	Pseudomonas fulva
pmon	Pseudomonas monteilii SB3078
pmot	Pseudomonas monteilii SB3101
ppj	Pseudomonas plecoglossicida
por	Pseudomonas oryzihabitans USDA-ARS-USMARC-56511
ppsl	Pseudomonas oryzihabitans PRS08-11306
pmol	Pseudomonas mosselii
pald	Pseudomonas alloputida
pix	Pseudomonas inefficax
pmos	Pseudomonas soli
pst	Pseudomonas syringae pv. tomato DC3000
psb	Pseudomonas syringae pv. syringae B728a
psyr	Pseudomonas syringae CC1557
psp	Pseudomonas savastanoi pv. phaseolicola 1448A
psav	Pseudomonas savastanoi pv. savastanoi
pamg	Pseudomonas amygdali
pci	Pseudomonas cichorii
pavl	Pseudomonas avellanae
pvd	Pseudomonas viridiflava
pcab	Pseudomonas cannabina pv. alisalensis
pcof	Pseudomonas coronafaciens pv. oryzae
ptre	Pseudomonas tremae
psyi	Pseudomonas syringae pv. tagetis
past	Pseudomonas asturiensis
plij	Pseudomonas lijiangensis
pfuv	Pseudomonas fuscovaginae
pfl	Pseudomonas protegens Pf-5
pprc	Pseudomonas protegens CHA0
ppro	Pseudomonas protegens Cab57
pfe	Pseudomonas ogarae F113
pza	Pseudomonas ogarae SWRI108
pfn	Pseudomonas fluorescens UK4
pfo	Pseudomonas fluorescens Pf0-1
pfs	Pseudomonas fluorescens SBW25
pfc	Pseudomonas fluorescens A506
ppz	Pseudomonas poae
pfb	Pseudomonas synxantha LBUM223
pman	Pseudomonas mandelii
ptv	Pseudomonas trivialis
pcg	Pseudomonas corrugata
pvr	Pseudomonas veronii
pazo	Pseudomonas azotoformans
poi	Pseudomonas orientalis
prx	Pseudomonas rhodesiae
pmed	Pseudomonas mediterranea
pkr	Pseudomonas koreensis
pmud	Pseudomonas mucidolens
ptol	Pseudomonas tolaasii
pmab	Pseudomonas marginalis
pbre	Pseudomonas brenneri
pfw	Pseudomonas simiae PCL1751
pff	Pseudomonas simiae PICF7
pfx	Pseudomonas lurida
pen	Pseudomonas entomophila
plul	Pseudomonas luteola
pba	Pseudomonas brassicacearum subsp. brassicacearum NFM421
pbc	Pseudomonas brassicacearum DF41
ppuu	Pseudomonas sp. UW4
pdr	Pseudomonas sp. ATCC 13867
psv	Pseudomonas sp. VLB120
psk	Pseudomonas gorinensis
pkc	Pseudomonas knackmussii
pch	Pseudomonas chlororaphis PA23
pcz	Pseudomonas chlororaphis PCL1606
pcp	Pseudomonas chlororaphis subsp. aurantiaca
pchp	Pseudomonas chlororaphis subsp. piscium
pfz	Pseudomonas fragi
plq	Pseudomonas lundensis
palk	Pseudomonas alkylphenolica
prh	Pseudomonas rhizosphaerae
psw	Pseudomonas cremoricolorata
ppv	Pseudomonas parafulva
pses	Pseudomonas sp. StFLB209
psem	Pseudomonas sp. MRSN12121
psec	Pseudomonas sp. CCOS 191
ppsy	Pseudomonas versuta
psos	Pseudomonas sp. Os17
pfk	Pseudomonas frederiksbergensis
panr	Pseudomonas antarctica
pset	Pseudomonas sp. TCU-HL1
psil	Pseudomonas silesiensis
pym	Pseudomonas yamanorum
pade	Candidatus Pseudomonas adelgestsugas
pke	Pseudomonas kribbensis
pum	Pseudomonas umsongensis
pgg	Pseudomonas graminis
ppsh	Pseudomonas psychrophila
pgy	Pseudomonas glycinae
psej	Pseudomonas sediminis
pvk	Pseudomonas viciae
pez	Pseudomonas eucalypticola
pbz	Pseudomonas bijieensis
pmao	Pseudomonas marincola
pata	Pseudomonas atacamensis
pdw	Pseudomonas donghuensis
pze	Pseudomonas zeae
pmoe	Pseudomonas monsensis
psep	Pseudomonas sessilinigenes
ppii	Pseudomonas piscis
pvw	Pseudomonas vanderleydeniana
ptrt	Pseudomonas tritici
pxa	Pseudomonas xanthosomatis
psam	Pseudomonas salmasensis
ptz	Pseudomonas tensinigenes
pqi	Pseudomonas qingdaonensis
pshh	Pseudomonas shahriarae
pxn	Pseudomonas xantholysinigenes
phv	Pseudomonas hamedanensis
pprg	Pseudomonas promysalinigenes
panh	Pseudomonas anuradhapurensis
pasg	Pseudomonas asgharzadehiana
pfak	Pseudomonas fakonensis
pmuy	Pseudomonas muyukensis
pmam	Pseudomonas maumuensis
paze	Pseudomonas azerbaijanorientalis
palv	Pseudomonas alvandae SWRI17
pcas	Pseudomonas alvandae B21-020
pory	Pseudomonas oryziphila
pwz	Pseudomonas wenzhouensis
ptk	Pseudomonas tructae
ptw	Pseudomonas tohonis
pie	Pseudomonas iranensis
pwy	Pseudomonas wayambapalatensis
ptae	Pseudomonas taetrolens
pgf	Pseudomonas germanica
pcav	Pseudomonas cavernae
pju	Pseudomonas juntendi
pphn	Pseudomonas phenolilytica
piz	Pseudomonas izuensis
ppeg	Pseudomonas pergaminensis
psii	Pseudomonas siliginis
psih	Pseudomonas sichuanensis
pfit	Pseudomonas fitomaticsae
pasi	Pseudomonas asiatica
pkm	Pseudomonas kermanshahensis
pnb	Pseudomonas nunensis
psoa	Pseudomonas solani
ptai	Pseudomonas taiwanensis
pkk	Pseudomonas kurunegalensis
pkj	Pseudomonas kielensis
phyg	Pseudomonas hygromyciniae
phom	Pseudomonas hormoni
pcuc	Pseudomonas cucumis
ptrl	Pseudomonas triclosanedens
ppae	Pseudomonas palleroniana
ppao	Pseudomonas phytophila
prhz	Pseudomonas rhizophila
psjy	Pseudomonas sp. JY-Q
psku	Pseudomonas sp. KUIN-1
pshs	Pseudomonas sp. HS6
phef	Pseudomonas hefeiensis
pslp	Pseudomonas sp. LPH1
plis	Pseudomonas serboccidentalis
plau	Pseudomonas lalucatii
psnc	Pseudomonas sp. NC02
pfou	Pseudomonas fortuita
pbej	Pseudomonas beijingensis
pkv	Pseudomonas khavaziana
psmt	Pseudomonas sp. MT-1
pskp	Pseudomonas sp. KU43P
pbam	Pseudomonas batumici
pdeu	Pseudomonas defluvii
pqe	Pseudomonas quebecensis
pben	Pseudomonas benzopyrenica
psdt	Pseudomonas sp. Stari2
pbez	Pseudomonas benzenivorans
pcaa	Pseudomonas canadensis
pbub	Pseudomonas bubulae
psml	Pseudomonas sp. ML2-2023-3
psmz	Pseudomonas sp. ML2-2023-6
psiv	Pseudomonas silvicola
pmy	Ectopseudomonas mendocina ymp
pmk	Ectopseudomonas mendocina NK-01
ppse	Ectopseudomonas oleovorans
pall	Ectopseudomonas alcaliphila
pkh	Ectopseudomonas khazarica
pty	Ectopseudomonas toyotomiensis
phf	Ectopseudomonas hydrolytica
pche	Ectopseudomonas chengduensis
psa	Stutzerimonas stutzeri A1501
psz	Stutzerimonas stutzeri ATCC 17588 = LMG 11199
psr	Stutzerimonas stutzeri DSM 4166
psc	Stutzerimonas stutzeri CCUG 29243
psj	Stutzerimonas stutzeri DSM 10701
psh	Stutzerimonas stutzeri RCH2
pstt	Stutzerimonas stutzeri 28a24
pstu	Stutzerimonas decontaminans
psed	Stutzerimonas frequens
pchl	Stutzerimonas chloritidismutans
pbm	Stutzerimonas balearica
pkg	Stutzerimonas kunmingensis
sdeg	Stutzerimonas degradans
pzd	Stutzerimonas zhaodongensis
avn	Azotobacter vinelandii DJ
avl	Azotobacter vinelandii CA
avd	Azotobacter vinelandii CA6
acx	Azotobacter chroococcum
pbb	Thiopseudomonas alkaliphila
pagr	Permianibacter aggregans
emo	Entomomonas moraniae
eaz	Entomomonas asaccharolytica
ento	Entomomonas sp. E2T0
hpeg	Halopseudomonas pelagia
haes	Halopseudomonas aestusnigri
pden	Pseudomonas denitrificans (nom. rej.)
harr	Halopseudomonas maritima
pnn	Halopseudomonas nanhaiensis
ppha	Halopseudomonas phragmitis
hasm	Halopseudomonas sp. SMJS2
dce	Denitrificimonas caeni
palc	Aquipseudomonas alcaligenes
pcam	Aquipseudomonas campi
pbau	Pseudomonadaceae bacterium T75
maq	Marinobacter nauticus VT8
mhc	Marinobacter nauticus ATCC 49840
mad	Marinobacter adhaerens
mbs	Marinobacter sp. BSs20148
msr	Marinobacter salarius
msx	Marinobacter similis
mpq	Marinobacter psychrophilus
mari	Marinobacter sp. CP1
mlq	Marinobacter sp. LQ44
msq	Marinobacter salinus
mara	Marinobacter sp. Arc7-DN-1
marj	Marinobacter sp. JH2
mall	Marinobacter alkaliphilus
mshe	Marinobacter shengliensis
manp	Marinobacter sp. NP-4(2019)
msan	Marinobacter salinisoli
mnk	Marinobacter nanhaiticus
mmee	Marinobacter metalliresistant
mamm	Marinobacter sp. MMG032
mrx	Marinobacter sp. RI1
maca	Marinobacter sp. CA1
mfli	Marinobacter flavimaris
kak	Ketobacter alkanivorans
pspi	Pseudohongiella spirulinae
par	Psychrobacter arcticus
pcr	Psychrobacter cryohalolentis
prw	Psychrobacter sp. PRwf-1
pso	Psychrobacter sp. G
pur	Psychrobacter urativorans
pali	Psychrobacter alimentarius
pspg	Psychrobacter sp. P2G3
psyg	Psychrobacter sp. P11G5
psyc	Psychrobacter sp. DAB_AL43B
psya	Psychrobacter sp. AntiMn-1
psyy	Psychrobacter sp. YP14
psyp	Psychrobacter sp. PAMC27889
pky	Psychrobacter sp. KH172YL61
pcia	Psychrobacter cibarius
prae	Psychrobacter raelei
acb	Acinetobacter baumannii ATCC 17978
abm	Acinetobacter baumannii SDF
aby	Acinetobacter baumannii AYE
abc	Acinetobacter baumannii ACICU
abn	Acinetobacter baumannii AB0057
abb	Acinetobacter baumannii AB307-0294
abx	Acinetobacter baumannii 1656-2
abz	Acinetobacter baumannii MDR-ZJ06
abr	Acinetobacter baumannii MDR-TJ
abd	Acinetobacter baumannii TCDC-AB0715
abh	Acinetobacter baumannii TYTH-1
abad	Acinetobacter baumannii D1279779
abj	Acinetobacter baumannii BJAB07104
abab	Acinetobacter baumannii BJAB0715
abaj	Acinetobacter baumannii BJAB0868
abaz	Acinetobacter baumannii ZW85-1
abk	Acinetobacter baumannii AbH12O-A2
abau	Acinetobacter baumannii AB030
abaa	Acinetobacter baumannii AB031
abw	Acinetobacter baumannii AC29
abal	Acinetobacter baumannii LAC-4
acc	Acinetobacter pittii
ano	Acinetobacter nosocomialis
alc	Acinetobacter lactucae
acal	Acinetobacter calcoaceticus
asei	Acinetobacter seifertii
acd	Acinetobacter oleivorans
aci	Acinetobacter baylyi
att	Acinetobacter sp. TTH0-4
aei	Acinetobacter equi
ajo	Acinetobacter johnsonii
acw	Acinetobacter sp. DUT-2
acv	Acinetobacter sp. TGL-Y2
ahl	Acinetobacter haemolyticus
ajn	Acinetobacter junii
asol	Acinetobacter soli
ala	Acinetobacter larvae
asj	Acinetobacter schindleri
aid	Acinetobacter indicus
adv	Acinetobacter defluvii
arj	Acinetobacter radioresistens
awu	Acinetobacter wuhouensis
acum	Acinetobacter cumulans
agu	Acinetobacter guillouiae
aug	Acinetobacter ursingii
alw	Acinetobacter lwoffii
ads	Acinetobacter dispersus
aber	Acinetobacter bereziniae
atn	Acinetobacter tandoii
achi	Acinetobacter chinensis
alj	Acinetobacter lanii
awg	Acinetobacter wanghuae
asha	Acinetobacter shaoyimingii
atg	Acinetobacter towneri
avb	Acinetobacter variabilis
abou	Acinetobacter bouvetii
agyl	Acinetobacter gyllenbergii
aciu	Acinetobacter sp. NCu2D-2
avz	Acinetobacter venetianus
apot	Acinetobacter portensis
atz	Acinetobacter tibetensis
aprl	Acinetobacter proteolyticus
acoi	Acinetobacter colistiniresistens
aviv	Acinetobacter vivianii
acie	Acinetobacter sp. BHS4
asue	Acinetobacter suaedae
acig	Acinetobacter sp. LoGeW2-3
acot	Acinetobacter corruptisaponis
atv	Acinetobacter thermotolerans
mct	Moraxella catarrhalis BBH18
mcs	Moraxella catarrhalis 25240
mcat	Moraxella catarrhalis 25239
moi	Moraxella ovis
mos	Moraxella osloensis
mbl	Moraxella bovoculi
mboi	Moraxella bovis
mcun	Moraxella cuniculi
mnn	Moraxella nonliquefaciens
mns	Moraxella nasovis
mnc	Moraxella nasicaprae
mnj	Moraxella nasibovis
mhac	Moraxella haemolytica
mcah	Moraxella canis
mow	Moraxella sp. DOX410
mora	Moraxella sp. FZFQ2102
mork	Moraxella sp. K02
morx	Moraxella sp. K23
mbah	Aquirhabdus parva
son	Shewanella oneidensis
sdn	Shewanella denitrificans
sfr	Shewanella frigidimarina
saz	Shewanella amazonensis
sbl	Shewanella baltica OS155
sbm	Shewanella baltica OS185
sbn	Shewanella baltica OS195
sbp	Shewanella baltica OS223
sbt	Shewanella baltica OS678
sbs	Shewanella baltica OS117
sbb	Shewanella baltica BA175
slo	Shewanella loihica
spc	Shewanella putrefaciens CN-32
shp	Shewanella putrefaciens 200
sse	Shewanella sediminis
spl	Shewanella pealeana
she	Shewanella sp. MR-4
shm	Shewanella sp. MR-7
shn	Shewanella sp. ANA-3
shw	Shewanella sp. W3-18-1
shl	Shewanella halifaxensis
swd	Shewanella woodyi
swp	Shewanella piezotolerans
svo	Shewanella violacea
shf	Shewanella sp. FDAARGOS_354
sja	Shewanella japonica
spsw	Shewanella psychrophila
sbj	Shewanella bicestrii
smav	Shewanella marisflavi
shew	Shewanella sp. WE21
salg	Shewanella algae
slj	Shewanella livingstonensis
smai	Shewanella maritima
spol	Shewanella polaris
sbk	Shewanella benthica
skh	Shewanella khirikhana
saes	Shewanella aestuarii
slit	Shewanella litorisediminis
sdk	Shewanella dokdonensis
scaa	Shewanella carassii
spsh	Shewanella psychropiezotolerans
seur	Shewanella eurypsychrophilus
syk	Shewanella yunxiaonensis
scyp	Shewanella cyperi
savi	Shewanella avicenniae
ssem	Shewanella sedimentimangrovi
sgla	Shewanella glacialimarina
sinv	Shewanella inventionis
sxm	Shewanella xiamenensis
svm	Shewanella vesiculosa
shej	Shewanella sp. JNE2
sseh	Shewanella seohaensis
schk	Shewanella chilikensis
sach	Shewanella acanthi
saeg	Shewanella aegiceratis
sdeo	Shewanella decolorationis
smes	Shewanella mesophila
shao	Shewanella halotolerans
szh	Shewanella zhangzhouensis
sspa	Shewanella spartinae
shns	Shewanella alkalitolerans
srhs	Shewanella rhizosphaerae
spsj	Shewanella psychrotolerans
smay	Shewanella mangrovisoli
sog	Shewanella oncorhynchi
spsr	Shewanella psychromarinicola
shea	Shewanella sp. Arc9-LZ
shel	Shewanella sp. LZH-2
sheh	Shewanella sp. H8
syou	Shewanella youngdeokensis
shem	Shewanella sp. MTB7
ilo	Idiomarina loihiensis L2TR
ili	Idiomarina loihiensis GSL 199
ipi	Idiomarina piscisalsi
idi	Idiomarina sp. X4
idt	Idiomarina sp. OT37-5b
iab	Idiomarina abyssalis
idp	Idiomarina sp. PL1-037
panm	Pseudidiomarina andamanensis
cps	Colwellia psychrerythraea
com	Colwellia sp. MT41
coz	Colwellia sp. PAMC 20917
colw	Colwellia sp. PAMC 21821
cola	Colwellia sp. Arc7-D
cov	Colwellia sp. Arc7-635
cber	Cognaticolwellia beringensis
lsd	Litorilituus sediminis
tht	Thalassotalea sp. HSM 43
thap	Thalassotalea sp. PS06
thab	Thalassotalea sp. LPB0316
tpsy	Thalassotalea psychrophila
tnn	Thalassotalea nanhaiensis
tft	Thalassotalea fonticola
that	Thalassomonas haliotis
tact	Thalassomonas actiniarum
tvd	Thalassomonas viridans
pha	Pseudoalteromonas translucida TAC125
ptn	Pseudoalteromonas translucida KMM 520
psm	Pseudoalteromonas sp. SM9913
pseo	Pseudoalteromonas piratica
pia	Pseudoalteromonas issachenkonii
